actor_id,actor,actor_image_url
2,Tim Allen,"https://m.media-amazon.com/images/M/MV5BMTI5ODY0NTAwOF5BMl5BanBnXkFtZTcwOTI3NjQxMw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
3,Don Rickles,"https://m.media-amazon.com/images/M/MV5BMTY0NTk1NzY1M15BMl5BanBnXkFtZTcwNjk4NDMwNA@@._V1_UX214_CR0,0,214,317_AL_.jpg"
4,Jim Varney,"https://m.media-amazon.com/images/M/MV5BMTUzNTcxNzgwNF5BMl5BanBnXkFtZTYwMjkzOTM2._V1_UX214_CR0,0,214,317_AL_.jpg"
5,Wallace Shawn,"https://m.media-amazon.com/images/M/MV5BMTc3MDYzMDQ1OF5BMl5BanBnXkFtZTcwMDQ3OTc1MQ@@._V1_UY317_CR4,0,214,317_AL_.jpg"
11,Walter Matthau,"https://m.media-amazon.com/images/M/MV5BMTU1NjYzOTc0NV5BMl5BanBnXkFtZTYwMjAxNDQ2._V1_UY317_CR11,0,214,317_AL_.jpg"
12,Jack Lemmon,"https://m.media-amazon.com/images/M/MV5BMTE5NTE3ODE1N15BMl5BanBnXkFtZTYwOTU1MTM2._V1_UY317_CR7,0,214,317_AL_.jpg"
13,Ann-Margret,"https://m.media-amazon.com/images/M/MV5BMTcxMzM1NjMyN15BMl5BanBnXkFtZTYwODg1OTQ2._V1_UY317_CR20,0,214,317_AL_.jpg"
14,Sophia Loren,"https://m.media-amazon.com/images/M/MV5BOTczNzg5MzAwMl5BMl5BanBnXkFtZTcwNzE0MjcxNQ@@._V1_UY317_CR8,0,214,317_AL_.jpg"
15,Burgess Meredith,"https://m.media-amazon.com/images/M/MV5BMTMxOTk3MzY2OF5BMl5BanBnXkFtZTcwNTI3NTMyNA@@._V1_UY317_CR8,0,214,317_AL_.jpg"
16,Whitney Houston,"https://m.media-amazon.com/images/M/MV5BMTkyMzA1NTk1M15BMl5BanBnXkFtZTcwMTYxNTkzNw@@._V1_UY317_CR7,0,214,317_AL_.jpg"
17,Angela Bassett,"https://m.media-amazon.com/images/M/MV5BMjI4OTQ1NTcxOF5BMl5BanBnXkFtZTcwOTc1NTU0OQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
18,Loretta Devine,"https://m.media-amazon.com/images/M/MV5BMTU3NjAyMDc2OF5BMl5BanBnXkFtZTcwNTU3MDMzMg@@._V1_UX214_CR0,0,214,317_AL_.jpg"
19,Lela Rochon,"https://m.media-amazon.com/images/M/MV5BNDAyODI5NzYyMV5BMl5BanBnXkFtZTYwMjQwMTc3._V1_UX214_CR0,0,214,317_AL_.jpg"
20,Gregory Hines,"https://m.media-amazon.com/images/M/MV5BMTI2NjU4NTYzM15BMl5BanBnXkFtZTYwODkwMjY2._V1_UY317_CR22,0,214,317_AL_.jpg"
21,Steve Martin,"https://m.media-amazon.com/images/M/MV5BNDY0ODYwNDM3OV5BMl5BanBnXkFtZTcwMTc3NjQzMg@@._V1_UX214_CR0,0,214,317_AL_.jpg"
22,Diane Keaton,"https://m.media-amazon.com/images/M/MV5BMTY5NDI5OTEyOF5BMl5BanBnXkFtZTgwMzU4NDI1NzM@._V1_UY317_CR4,0,214,317_AL_.jpg"
23,Martin Short,"https://m.media-amazon.com/images/M/MV5BMTY1MDIyMDY1N15BMl5BanBnXkFtZTgwNzMzMDE5NTE@._V1_UX214_CR0,0,214,317_AL_.jpg"
24,Kimberly Williams-Paisley,"https://m.media-amazon.com/images/M/MV5BZjA0OTdiYjUtM2RhMi00MmYxLWE0ODMtMGI0ODEzZDMxOTI4XkEyXkFqcGdeQXVyOTE0NjgwMjY@._V1_UY317_CR12,0,214,317_AL_.jpg"
25,George Newbern,"https://m.media-amazon.com/images/M/MV5BMzc3NjczOTg4NV5BMl5BanBnXkFtZTgwODk3MDI5MTE@._V1_UX214_CR0,0,214,317_AL_.jpg"
26,Al Pacino,"https://m.media-amazon.com/images/M/MV5BMTQzMzg1ODAyNl5BMl5BanBnXkFtZTYwMjAxODQ1._V1_UX214_CR0,0,214,317_AL_.jpg"
27,Robert De Niro,"https://m.media-amazon.com/images/M/MV5BMjAwNDU3MzcyOV5BMl5BanBnXkFtZTcwMjc0MTIxMw@@._V1_UY317_CR13,0,214,317_AL_.jpg"
29,Jon Voight,"https://m.media-amazon.com/images/M/MV5BMTc2NTE3NDA3M15BMl5BanBnXkFtZTgwMDMyNTM1MjE@._V1_UY317_CR3,0,214,317_AL_.jpg"
30,Tom Sizemore,"https://m.media-amazon.com/images/M/MV5BMTUyMzQ3NDg5N15BMl5BanBnXkFtZTYwMzc0Mjk2._V1_UY317_CR13,0,214,317_AL_.jpg"
31,Harrison Ford,"https://m.media-amazon.com/images/M/MV5BMTY4Mjg0NjIxOV5BMl5BanBnXkFtZTcwMTM2NTI3MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
32,Julia Ormond,"https://m.media-amazon.com/images/M/MV5BMjEzNTQyODk5Ml5BMl5BanBnXkFtZTcwOTEwOTk0OA@@._V1_UX214_CR0,0,214,317_AL_.jpg"
33,Greg Kinnear,"https://m.media-amazon.com/images/M/MV5BMTcwNzE5MDM1NV5BMl5BanBnXkFtZTcwMTAzMjM3NA@@._V1_UY317_CR11,0,214,317_AL_.jpg"
34,Nancy Marchand,"https://m.media-amazon.com/images/M/MV5BMjE1MzcyMDczNl5BMl5BanBnXkFtZTcwMzQwNTU4Mg@@._V1_UX214_CR0,0,214,317_AL_.jpg"
35,John Wood,"https://m.media-amazon.com/images/M/MV5BNDUwMTAzNzUzMV5BMl5BanBnXkFtZTcwMzc0MDIyOA@@._V1_UX214_CR0,0,214,317_AL_.jpg"
36,Jonathan Taylor Thomas,"https://m.media-amazon.com/images/M/MV5BNDQwNjc0MTYwN15BMl5BanBnXkFtZTYwNzE3NzQz._V1_UX214_CR0,0,214,317_AL_.jpg"
37,Brad Renfro,"https://m.media-amazon.com/images/M/MV5BMTA1NDE3NDA1MDVeQTJeQWpwZ15BbWU3MDE1NTg5MjE@._V1_UY317_CR19,0,214,317_AL_.jpg"
38,Charles Rocket,"https://m.media-amazon.com/images/M/MV5BMjEzODUyMDc4N15BMl5BanBnXkFtZTcwNTY3MjgxOA@@._V1_UY317_CR17,0,214,317_AL_.jpg"
39,Eric Schweig,"https://m.media-amazon.com/images/M/MV5BMjEyODg1MjQwN15BMl5BanBnXkFtZTYwNjAzNTky._V1_UX214_CR0,0,214,317_AL_.jpg"
40,Amy Wright,"https://m.media-amazon.com/images/M/MV5BMTI5NzE5NzgzMl5BMl5BanBnXkFtZTcwNzExMTkwMw@@._V1_UY317_CR134,0,214,317_AL_.jpg"
44,Whittni Wright,"https://m.media-amazon.com/images/M/MV5BNDA0ZDc2MzgtMzNmNS00MTc4LTk3MzYtMTJiNDg2MjEzYTVjXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_UY317_CR133,0,214,317_AL_.jpg"
45,Ross Malinger,"https://m.media-amazon.com/images/M/MV5BMTI4NjY3OTE3OV5BMl5BanBnXkFtZTcwMTYxNjgwMw@@._V1_UY317_CR141,0,214,317_AL_.jpg"
47,Sean Bean,"https://m.media-amazon.com/images/M/MV5BMTkzMzc4MDk5OF5BMl5BanBnXkFtZTcwODg3MjUxNw@@._V1_UY317_CR8,0,214,317_AL_.jpg"
