director_id,director
1,Damien ODonnell
2,Gavin OConnor
3,Harry dAbbadie dArrast
4,James Algar 
5,James Algar
6,Pat OConnor
7,Peter OFallon
8,Shinya Tsukamoto
9,Tommy OHaver
10,Aaron Norris
11,Abbas Kiarostami
12,Abbe Wool
13,Abel Ferrara
14,Adam Resnick
15,Adam Rifkin
16,Adam Simon
17,Adrian Lyne
18,Agnieszka Holland
19,Agnès Varda
20,Akira Kurosawa
21,Al Pacino
22,Alain Berliner
23,Alan Cohn
24,Alan J. Pakula
25,Alan Jacobs
26,Alan Mehrez
27,Alan Metter
28,Alan Myerson
29,Alan Parker
30,Alan Rudolph
31,Alan Shapiro
32,Alan Taylor
33,Alan Zaslove
34,Albert Brooks
35,Albert Hughes
36,Albert Lewin
37,Alejandro Amenábar
38,Alek Keshishian
39,Alex Cox
40,Alex Proyas
41,Alexander Payne
42,Alexandre Rockwell
43,Alfonso Arau
44,Alfonso Cuarón
45,Alfred Hitchcock
46,Alfred L. Werker
47,Alfred Sole
48,Alison Maclean
49,Allan A. Goldstein
50,Allan Moyle
51,Allen Hughes
52,Allison Anders
53,Amy Heckerling
54,Amy Holden Jones
55,Ana Kokkinos
56,Anand Tucker
57,Andrei Tarkovsky
58,Andrew Bergman
59,Andrew Birkin
60,Andrew Davis
61,Andrew Fleming
62,Andrew Marton
63,Andrew Morahan
64,Andrew Niccol
65,Andrew Scheinman
66,Andrew Sipes
67,Andrew Stanton
68,Andrey Konchalovskiy
69,Andrzej Bartkowiak
70,Andrzej Zulawski
71,André Bonzel
72,André Téchiné
73,Andy Cadiff
74,Andy Tennant
75,Andy Wilson
76,Ang Lee
77,Annabel Jankel
78,Anne Goursaud
79,Anne Wheeler
80,Annette Haywood-Carter
81,Anthony Hickox
82,Anthony Mann
83,Anthony Minghella
84,Anthony Perkins
85,Anthony Waller
86,Antoine Fuqua
87,Anton Leader
88,Antonia Bird
89,Antonio Banderas
90,Archie Mayo
91,Arlene Sanford
92,Arne Glimcher
93,Arnold Laven
94,Art Linson
95,Art Stevens
96,Arthur Hiller
97,Arthur Lubin
98,Arthur Penn
99,Ash Brannon
100,Ate de Jong
101,Atom Egoyan
102,Audrey Wells
103,Barbet Schroeder
104,Barbra Streisand
105,Barry Cook
106,Barry Levinson
107,Barry Sonnenfeld
108,Barry W. Blaustein
109,Bart Freundlich
110,Baz Luhrmann
111,Beeban Kidron
112,Ben Stiller
113,Ben Younger
114,Benjamin Ross
115,Benoît Poelvoorde
116,Bernard Rose
117,Bernardo Bertolucci
118,Betty Thomas
119,Bharat Nalluri
120,Bibo Bergeron
121,Bill Bennett
122,Bill Condon
123,Bill Couturié
124,Bill Duke
125,Bill Forsyth
126,Bill Norton
127,Bille August
128,Billy Bob Thornton
129,Billy Crystal
130,Billy Wilder
131,Blake Edwards
132,Boaz Yakin
133,Bob Balaban
134,Bob Buchholz
135,Bob Clark
136,Bob Fosse
