language_id,language
1,Aboriginal
2,Afrikaans
3,Albanian
4,Algonquin
5,American Sign Language
6,Ancient (to 1453)
7,Apache languages
8,Arabic
9,Aramaic
10,Assamese
11,Assyrian Neo-Aramaic
12,Azerbaijani
13,Basque
14,Bengali
15,Bosnian
16,British Sign Language
17,Bulgarian
18,Cantonese
19,Catalan
20,Central Khmer
21,Chinese
22,Cornish
23,Cree
24,Croatian
25,Crow
26,Czech
27,Danish
28,Dutch
29,Egyptian (Ancient)
30,English
31,Esperanto
32,Filipino
33,Finnish
34,French
35,French Sign Language
36,Gaelic
37,Galician
38,German
39,Greek
40,Guarani
41,Hawaiian
42,Hebrew
43,Hindi
44,Hungarian
45,Icelandic
46,Indonesian
47,Inuktitut
48,Irish Gaelic
49,Italian
50,Japanese
51,Klingon
52,Korean
53,Kurdish
54,Lao
55,Latin
56,Latvian
57,Luxembourgish
58,Macedonian
59,Malay
60,Maltese
61,Mandarin
62,Maori
63,Mende
64,Min Nan
65,Navajo
66,Neapolitan
67,Nepali
68,None
69,Norse
70,North American Indian
71,Norwegian
72,Old
73,Papiamento
74,Pawnee
75,Persian
76,Polish
77,Polynesian
78,Portuguese
79,Punjabi
80,Quechua
81,Romanian
82,Romany
83,Russian
84,Sanskrit
85,Serbian
86,Sicilian
87,Sindarin
88,Sinhala
89,Sioux
90,Slovak
91,Spanish
92,Swahili
93,Swedish
94,Syriac
95,Tagalog
96,Tamil
97,Thai
98,Tibetan
99,Tok Pisin
100,Turkish
101,Ukrainian
102,Ungwatsi
103,Urdu
104,Vietnamese
105,Washoe
106,Welsh
107,Xhosa
108,Yiddish
109,Zulu
110,Telugu
111,Malayalam
112,
