movie_id,actor_id,role
1,1,Woody
1,2,Buzz Lightyear
1,3,Mr. Potato Head
1,4,Slinky Dog
1,5,Rex
3,15,Grandpa Gustafson
3,13,Ariel Gustafson
3,14,Maria Sophia Coletta Ragetti
3,11,Max Goldman
3,12,John Gustafson
4,16,Savannah
4,17,Bernadine
4,18,Gloria
4,19,Robin
4,20,Marvin
5,21,George Banks
5,22,Nina Banks
5,23,Franck Eggelhoffer
5,24,Annie Banks-MacKenzie
5,25,Bryan MacKenzie
6,30,Michael Cheritto
6,29,Nate
6,26,Lt. Vincent Hanna
6,27,Neil McCauley
6,28,Chris Shiherlis
7,31,Linus Larrabee
7,32,Sabrina Fairchild
7,33,David Larrabee
7,34,Maude Larrabee
7,35,Fairchild
8,39,Injun Joe
8,38,Judge Thatcher
8,40,Aunt Polly
8,36,Tom Sawyer
8,37,Huck Finn
11,55,Robin McCall
11,53,A.J. MacInerney
11,54,Lewis Rothschild
11,51,Andrew Shepherd
11,52,Sydney Ellen Wade
12,56,Dracula
12,57,Professor Van Helsing
12,58,Renfield
12,59,Harker
12,60,Mina
13,65,Muk and Luk
13,63,Jenna
13,64,Steele
13,61,Balto
13,62,Boris
14,66,Richard M. Nixon
14,67,Pat Nixon
14,42,Alexander Haig
14,68,E. Howard Hunt
14,62,J. Edgar Hoover
15,72,John Reed
15,69,Morgan Adams
15,70,William Shaw
15,71,Dawg Brown
15,73,Ainslee
16,3,Billy Sherbert
16,75,Nicky Santoro
16,76,Lester Diamond
16,27,Sam Ace Rothstein
16,74,Ginger McKenna
17,77,Elinor Dashwood
17,78,Marianne Dashwood
17,79,John Dashwood
17,80,Mr. Dashwood
17,81,Fanny Dashwood
18,86,Athena 
18,82,Ted the Bellhop
18,83,Man 
18,84,Jezebel 
18,85,Diana 
19,91,Burton Quinn
19,90,Ouda
19,88,Fulton Greenwall
19,87,Ace Ventura
19,89,Vincent Cadby
20,96,Torch
20,92,John
20,93,Charlie Robinson
20,94,Grace Santiago
20,95,Donald Patterson
21,99,Martin Weir
21,100,Chili Palmer
21,97,Harry Zimm
21,98,Karen Flores
21,101,Ray Bones Barboni
22,105,Peter Foley
22,104,Ruben Goetz
22,106,Daryll Lee Cullum
22,102,Helen Hudson
22,103,MJ Monahan
24,111,Jessie Caldwell
24,112,Jeremy Powder Reed
24,113,Sheriff Doug Barnum
24,114,Donald Ripley
24,115,Deputy Harley Duncan
25,59,Marc Nussbaum
25,118,Yuri
25,119,Peter
25,116,Ben Sanderson
25,117,Sera
26,120,Roberta Martin
26,121,Samantha Albertson
26,122,Roberta Martin
26,123,Tina Teeny Tercell
26,124,Tina Teeny Tercell
27,125,Anne Elliot
27,126,Captain Wentworth
27,127,Lady Russell
27,128,Sir Walter Elliot
27,129,Mrs. Croft
28,134,Marcello
28,133,Le scaphandrier
28,131,Krank
28,130,One
28,132,Miette
29,135,Xiao Jingbao
29,136,6th Uncle
30,137,Louanne Johnson
30,138,Hal Griffith
30,139,Mr. George Grandey
30,140,Mrs. Carla Nichols
30,141,Mary Benton
31,146,Jose
31,144,Jeffrey Goines
31,145,Young Cole
31,142,James Cole
31,143,Kathryn Railly
32,147,Farmer Hoggett
32,148,Esme Hoggett
32,149,Babe
32,150,Fly
32,151,Ferdinand
33,77,Dora Carrington
33,152,Lytton Strachey
33,153,Ralph Partridge
33,154,Gerald Brenan
33,155,Mark Gertler
34,43,Earl Delacroix
34,159,Clyde Percy
34,157,Matthew Poncelet
34,156,Sister Helen Prejean
34,158,Hilton Barber
35,160,Diane Barrows
35,161,Roger Callaway
35,162,Amanda Lemmon
35,163,Alyssa Callaway
35,164,Vincenzo
36,168,Josh
36,167,Tai
36,169,Murray
36,165,Cher
36,166,Dionne
37,170,James Jarvis
37,171,Rev. Stephen Kumalo
37,172,Theophilus Msimangu
37,173,John Kumalo
37,174,Child
38,175,Richard III - Duke of Gloucester
38,52,Queen Elizabeth
38,176,Prince Edward of Lancaster
38,177,King Henry VI
38,178,Ratcliffe
39,182,Jose
39,181,Skip
39,183,Juanita Benson
39,179,Anthony Curtis
39,180,Kirby
40,184,Merivel
40,185,The King
40,186,Pearce
40,187,Celia
40,188,Katharine
41,189,Lord Raiden
41,190,Liu Kang
41,191,Johnny Cage
41,192,Shang Tsung
41,193,Sonya Blade
42,198,Janice Maretto
42,197,Russel Hines
42,196,Jimmy Emmett
42,194,Suzanne Stone
42,195,Larry Maretto
43,199,Finn
43,200,Hy
43,201,Glady Joe
43,202,Young Finn
43,203,Young Finn
44,204,Somerset
44,144,Mills
44,205,John Doe
44,206,Dead Man at 1st Crime Scene
44,207,Detective Taylor at First Murder
45,212,Pocahontas
45,211,Lon
45,210,Thomas
45,209,Grandmother Willow
45,208,John Smith
46,213,Camille Baker
46,214,Petra Soft
46,215,Martin
46,216,Reverend DeBoer
46,217,Timothy
47,220,McManus
47,219,Dave Kujan
47,221,Fenster
47,205,Verbal
47,218,Keaton
48,222,Lenny
48,223,Linda Ash
48,224,Greek Chorus
48,225,Greek Chorus
48,226,Greek Chorus
49,161,Sheriff Tom Palmer
49,227,Miss Anna Montgomery
49,228,Coach Jay Huffer
49,229,Edwin V. Douglas
49,230,Evan Schiff
50,234,Axel Goldman
50,233,Jake
50,235,Bobby
50,231,Sadie Flood
50,232,Georgia Flood
51,103,Claudia Larson
51,201,Adele Larson
51,184,Tommy Larson
51,236,Henry Larson
51,237,Leo Fish
52,238,Mario Ruoppolo
52,239,Pablo Neruda
52,240,Beatrice Russo
52,241,Telegrapher
52,242,Donna Rosa
53,247,Alfred Hitchcock
53,246,Lassistante de Hitchcock
53,245,Raymond Massicotte
53,243,Pierre Lamontagne
53,244,Marc Lamontagne
54,248,Omri
54,249,Little Bear
54,250,Jane
54,251,Victor
54,252,Patrick
55,253,Karen McCann
55,254,Robert Doob
55,68,Mack McCann
55,255,Julie McCann
55,256,Megan McCann
56,261,Vice Principal Wolters
56,260,Principal Jacobs
56,259,Bill Meister
56,258,Iris Holland
56,257,Glenn Holland
57,262,Ashtray
57,263,Loc Dog
57,264,Mailman
57,265,Dashiki
57,266,Preach
58,270,FBI Agent OMalley
58,269,Evan Marsh
58,271,Fitzie
58,267,Roz
58,268,Francis Frank OBrien
59,272,Bud Macintosh
59,220,Doyle Johnson
59,273,Dr. Noah Faulkner
59,274,Olivia Biggs
59,275,Mimi Simkins
60,276,Dr. Benjamin Trace
60,277,Jobe Smith
60,278,Peter Parkette
60,279,Dr. Cori Platt
60,280,Jennifer
61,284,Antoine
61,283,Laurent Lafaye
61,285,Dany
61,281,Loli
61,282,Marijo
62,286,Craig Jones
62,181,Smokey
62,287,Debbie
62,288,Deebo
62,289,Mr. Jones
63,290,Jacob Fuller
63,291,Seth Gecko
63,292,Kate Fuller
63,293,Richard Gecko
63,294,Scott Fuller
64,299,Emilio Juantorena
64,298,Lt. Meyerson
64,297,Col. Ilya Pavel Kazak
2400,5823,
64,295,Det. Max Kirkpatrick
64,296,Kate McQuean
65,300,Grover
65,301,Chet
65,302,Pete
65,303,Gail
65,304,Professor
66,305,Henri Fortin
66,306,André Ziman
66,307,Elise Ziman
66,308,La fille Ziman
66,309,Thénardière 1942
67,314,Randy
67,313,Danny
67,312,Kim
67,311,Lisa Walker
67,310,Lewis Farrell
68,315,Joe Hendricksson
68,316,Becker
68,317,Jessica Hanson
68,318,Ace Jefferson
68,319,Ross
69,323,Jojo
69,322,Mary
69,324,Helen Booth
69,320,Freddy Gale
69,321,John Booth
70,121,Annie
70,325,Teacher
70,326,Oliver
70,327,Eddie
70,250,Tallow
71,328,Razieh
71,329,Ali
71,330,Mother
71,331,Old Lady
71,332,Soldier
72,336,Franchise
72,335,Pieces
72,337,Easy Wind
72,333,Jimmy The Saint Tosnia
72,334,The Man with the Plan
73,338,Antonia
73,339,Boer Bas
73,340,Thérèse
73,341,Danielle
73,342,Allegonde
74,343,Poppa
74,344,Ma Ponk
74,345,Uncle Melvin
74,346,Ma Pearl
74,347,Miss Alice
75,352,Freddy
75,351,Suzanne
75,350,Jake Axelrod
75,348,Oona Hart
75,349,Helena Mora
76,353,William Adamson
76,246,Matty Crompton
76,354,Eugenia Alabaster Adamson
76,355,Sir Harald Alabaster
76,356,Edgar Alabaster
77,357,Sheldon Skipper
77,358,Dr. Alice Sheldon
77,359,McCrea
77,360,Chuck Gieg
77,361,Frank Beaumont
78,366,Brian Grant
78,365,Lord Rutledge
78,364,Kyle Grant
78,363,Mrs. Dubrow
78,362,Robert Grant
79,367,Mike Donnelly
79,368,Steve Dodds
79,369,Al Donnelly
79,370,Governor Tracy
79,371,Drake Sabitch
80,372,Gene Watson
80,334,Mr. Smith
80,373,Lynn Watson
80,173,Huey
80,374,Ms. Jones
82,380,Maximillian
82,17,Det. Rita Veder
82,381,Detective Justice
82,382,Julius Jones
82,289,Silas Green
83,195,Tommy Birdman Rowland
83,383,Willie Conway
83,384,Michael Mo Morris
83,385,Tracy Stover
83,386,Darian Smalls
84,91,Pritchett
84,388,Colonel Max Wilkins
84,100,Vic Deakins
84,310,Riley Hale
84,387,Terry Carmichael
85,389,Joe Harper 
86,390,Vinz
86,391,Hubert
86,392,Saïd
86,393,Abdel
86,394,Santo
87,398,Be Bop
87,397,Tommy
87,47,Venning
87,395,Jo
87,396,Billy
88,26,Mayor John Pappas
88,399,Deputy Mayor Kevin Calhoun
88,63,Marybeth Cogan
88,400,Frank Anselmo
88,401,Judge Walter Stern
89,402,Anthony Adams
89,403,Dignan
89,404,Dr. Nichols
89,405,Grace
89,406,Bernice
90,410,Curtis Avery
90,298,Stewart Gleick
90,407,David Krane
90,408,Martha Briggs
90,409,Don Bresler
91,411,Happy Gilmore
91,298,Shooter McGavin
91,412,Virginia Venit
91,413,Grandma
91,414,Chubbs
92,415,Robert Kincaid
92,416,Francesca Johnson
92,417,Carolyn Johnson
92,418,Michael Johnson
92,419,Richard Johnson
93,424,The Great Gonzo
93,422,Mrs. Bluveridge
93,423,Jim Hawkins
93,420,Long John Silver
93,421,Billy Bones
94,208,William Wallace
94,425,Princess Isabelle
94,426,Longshanks - King Edward I
94,427,Robert the Bruce
94,428,Young William
95,27,Travis Bickle
95,429,Iris
95,430,Betsy
95,431,Tom
95,432,Concession Girl
96,437,Tony
96,436,Uncle Bill
96,433,Keung
96,434,Elaine
96,435,Nancy
97,416,Carolyn Ryan
97,438,Ben Ryan
2400,5822,
97,439,Jacob Ryan
97,440,Judith Ryan
97,441,Panos Demeris
98,445,Jimmy MacNeil
98,444,Neil Currie
98,446,Angus MacNeil
98,442,Margaret MacNeil
98,443,Catherine MacNeil
99,447,Narration
99,448,Diary Readings
99,449,
99,450,
99,451,
100,452,Graham Young
100,453,Dr. Ernest Zeigler
100,454,Young Graham
100,455,Molly
100,456,Fred
101,461,Simon Ackerman
101,459,Bwick Elias
101,460,Jane Lindquist
101,457,Lucy Ackerman
101,458,Joe MacGonaughgill
102,333,Ruben Partida Martinez
