movie_id,title,year,length,age_guide,description,poster,trailer_url,is_deleted,is_in_cinema,is_coming_soon,genre,language,director,writer,actors,keywords
1,Toy Story,1995,1h 21min,G,little boy named andy loves room playing toys especially doll woody come life believes toy good however must worry family moving know birthday party realize mother gave action figure known buzz lightyear believe quickly becomes new favorite consumed jealousy tries get rid lost find way back moves without pass ruthless killer sid phillips,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_.jpg,https://www.youtube.com/embed/tN1A2mVnrOM,False,False,False,Animation Comedy Family Fantasy Adventure,English,JohnHuston,JohnLasseter PeteDocter AndrewStanton,TomHanks TimAllen DonRickles JimVarney WallaceShawn,"A little boy named Andy loves to be in his room, playing with his toys, especially his doll named Woody. But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips."
3,Grumpier Old Men,1995,1h 41min,PG-13,things seem change much wabasha county max john still fighting 35 years grandpa drinks smokes chases women nobody able catch fabled catfish hunter gigantic actually smiles fishermen try snare six months ago married new girl town ariel   people begin suspect might missing something similar life joy claims left fishing owner bait shop,https://m.media-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://www.youtube.com/embed/rEnOoWs3FuA,False,False,False,Romance Comedy,English German Italian,HerkHarvey,MarkStevenJohnson,BurgessMeredith Ann-Margret SophiaLoren WalterMatthau JackLemmon,"Things don't seem to change much in Wabasha County: Max and John are still fighting after 35 years, Grandpa still drinks, smokes, and chases women , and nobody's been able to catch the fabled Catfish Hunter, a gigantic catfish that actually smiles at fishermen who try to snare it. Six months ago John married the new girl in town (Ariel), and people begin to suspect that Max might be missing something similar in his life. The only joy Max claims is left in his life is fishing, but that might change with the new owner of the bait shop."
4,Waiting to Exhale,1995,2h 4min,R,story based best selling novel terry mcmillan follows lives four african american women try deal friendship becomes strongest bond men careers families take different directions often light hearted movie speaks problems struggles modern face today world,https://m.media-amazon.com/images/M/MV5BYzcyMDY2YWQtYWJhYy00OGQ2LTk4NzktYWJkNDYwZWJmY2RjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg,https://www.youtube.com/embed/j9xml1CxgXI,False,False,False,Comedy Drama Romance,English,EugenioMartín,RonaldBass TerryMcMillan,WhitneyHouston AngelaBassett LorettaDevine LelaRochon GregoryHines,"This story based on the best selling novel by Terry McMillan follows the lives of four African-American women as they try to deal with their very lives. Friendship becomes the strongest bond between these women as men, careers, and families take them in different directions. Often light-hearted this movie speaks about some of the problems and struggles the modern women face in today's world."
5,Father of the Bride Part II,1995,1h 46min,G,sequel father bride george banks must accept reality daughter ascension wife mother means placed perspective stage life comfortable family unit starts unravel mind rapid progression mid crisis future journey regain youth acts catalyst kind rebirth attitude nina find lives change well,https://m.media-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://www.youtube.com/embed/_Pv5qMpwrdU,False,False,False,Family Romance Comedy,English,CecilB.DeMille,AlbertHackett NancyMeyers FrancesGoodrich,SteveMartin DianeKeaton MartinShort KimberlyWilliams-Paisley GeorgeNewbern,"In this sequel to Father of the Bride, George Banks must accept the reality of what his daughter's ascension from daughter to wife, and now, to mother means when placed into perspective against his own stage of life. As the comfortable family unit starts to unravel in his mind, a rapid progression into mid-life crisis is in his future. His journey to regain his youth acts as a catalyst for a kind of rebirth of his attitude on life when he and his wife, Nina, find how their lives are about to change as well."
6,Heat,1995,2h 50min,R18,hunters prey -- neil professional criminal crew hunt score big money targets banks vaults armored cars turn hunted lt vincent hanna team cops robbery homicide police division botched job puts onto trail regroup try put together one last retirement similar many ways including troubled personal lives crucial moment life disobeys dictum taught long ago mentor --' never anything walk thirty seconds flat spot heat coming around corner '-- falls love thus stage set suspenseful ending ....,https://m.media-amazon.com/images/M/MV5BNGMwNzUwNjYtZWM5NS00YzMyLWI4NjAtNjM0ZDBiMzE1YWExXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,https://www.youtube.com/embed/14oNcFxiVaQ,False,False,False,Drama Crime Thriller,English Spanish,MichaelHerz,MichaelMann,TomSizemore JonVoight AlPacino RobertDeNiro ValKilmer,"Hunters and their prey--Neil and his professional criminal crew hunt to score big money targets (banks, vaults, armored cars) and are, in turn, hunted by Lt. Vincent Hanna and his team of cops in the Robbery/Homicide police division. A botched job puts Hanna onto their trail while they regroup and try to put together one last big 'retirement' score. Neil and Vincent are similar in many ways, including their troubled personal lives. At a crucial moment in his life, Neil disobeys the dictum taught to him long ago by his criminal mentor--'Never have anything in your life that you can't walk out on in thirty seconds flat, if you spot the heat coming around the corner'--as he falls in love. Thus the stage is set for the suspenseful ending...."
7,Sabrina,1995,2h 7min,PG,growing sabrina fairchild spent time perched tree watching larrabee family ever solid ground chauffeur daughter lavish long island estate invisible behind branches knew maude modern matriarch corporation linus serious older son expanded successful business world largest communications company david handsome fun loving center shipped paris two years staff vogue magazine returned blossomed beautiful sophisticated woman standing way billion dollar deal,https://m.media-amazon.com/images/M/MV5BYjQ5ZjQ0YzQtOGY3My00MWVhLTgzNWItOTYwMTE5N2ZiMDUyXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_.jpg,https://www.youtube.com/embed/iEqPw_QP28c,False,False,False,Romance Drama Comedy,English French,SusanStreitfeld,SamuelA.Taylor BillyWilder ErnestLehman,HarrisonFord JuliaOrmond GregKinnear NancyMarchand JohnWood,"While she was growing up, Sabrina Fairchild spent more time perched in a tree watching the Larrabee family than she ever did on solid ground. As the chauffeur's daughter on their lavish Long Island estate, Sabrina was invisible behind the branches, but she knew them all below - There is Maude Larrabee, the modern matriarch of the Larrabee Corporation; Linus Larrabee, the serious older son who expanded a successful family business into the world's largest communications company; and David, the handsome, fun-loving Larrabee, who was the center of Sabrina's world until she was shipped off to Paris. After two years on the staff of Vogue magazine, Sabrina has returned to the Larrabee estate but now she has blossomed into a beautiful and sophisticated woman. And she's standing in the way of a billion dollar deal."
8,Tom and Huck,1995,1h 37min,PG,tom sawyer mischievous young boy growing small us town mid 1800s finds friend huckleberry finn vagrant outcast two get sorts boyish adventures one witness murder leaving dilemma,https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_.jpg,https://www.youtube.com/embed/-C-xXZyX2zU,False,False,False,Adventure Family Western Romance Drama Comedy,English,PeterFarrelly,MarkTwain StephenSommers DavidLoughery,EricSchweig CharlesRocket AmyWright JonathanTaylorThomas BradRenfro,"Tom Sawyer is a mischievous young boy, growing up in a small US town in the mid-1800s. He finds a friend in Huckleberry Finn, a vagrant and outcast, and the two get up to all sorts of boyish adventures. While on one of these adventures they witness a murder, leaving Tom with a dilemma."
19,Ace Ventura: When Nature Calls,1995,1h 30min,PG-13,ace ventura emerging self imposed exile remote himalayan hideaway travels africa explorer fulton greenwall find sacred bat told avert war wachootoo wachati tribes course gets involved hell breaks loose ...,https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://www.youtube.com/embed/YG28rBUkgf8,False,False,False,Comedy Crime Adventure,English,SteveMiner,JackBernstein SteveOedekerk,BobGunton MaynardEziashi IanMcNeice JimCarrey SimonCallow,"Ace Ventura, emerging from self-imposed exile in a remote Himalayan hideaway, travels to Africa with explorer Fulton Greenwall to find a sacred bat which is told will avert a war between with Wachootoo and Wachati tribes. Of course, when Ace gets involved, all hell breaks loose..."
2,Jumanji,1995,1h 44min,G,jumanji one unique -- dangerous board games ever falls hands curious teen alan parrish 1969 mysterious magical game strands unsuspecting boy lush savage forests mythical realm nearly three decades later releases awed eyes young orphaned siblings judy peter shepherd wild incessant beat jungle tribal drums calling adult hesitant players rolls dice must never leave undone roll started anyone escaped formidable foes,https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://www.youtube.com/embed/eTjDsENDZ6s,False,False,False,Adventure Comedy Family Fantasy,English French,JoeCarnahan,GregTaylor JimStrain JonathanHensleigh,RobinWilliams KirstenDunst BonnieHunt JonathanHyde BradleyPierce,"Jumanji, one of the most unique--and dangerous--board games ever, falls into the hands of the curious teen, Alan Parrish, in 1969. Mysterious and magical, the game strands the unsuspecting boy in the lush, savage forests of a mythical realm. Nearly three decades later, the game releases him before the awed eyes of the young orphaned siblings, Judy and Peter Shepherd. Now, the wild and incessant beat of the jungle's tribal drums is calling for the now-adult Alan and the other hesitant players, as the one who rolls the dice must never leave undone what the roll has started. Has anyone ever escaped from the game and Jumanji's formidable foes?"
11,The American President,1995,1h 54min,PG-13,andrew shepherd approaching end first term president united states widower young daughter proved popular public election seems assured meets sydney ellen wade paid political activist working environmental lobby group immediately smitten several amusing attempts finally manage go date happens state dinner visiting france . relationship opens door prime opponent senator bob rumson launch attack character something could previous wife recently died,https://m.media-amazon.com/images/M/MV5BNjhkMmU0M2YtZDUwYi00OWE0LWI5NTktODBjNDc1M2ZlMjI4XkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_.jpg,https://www.youtube.com/embed/UrC75wUKoFM,False,False,False,Comedy Romance Drama,English French Spanish,RobHedden,AaronSorkin,AnnaDeavereSmith MartinSheen MichaelJ.Fox MichaelDouglas AnnetteBening,"Andrew Shepherd is approaching the end of his first term as President of the United States. He's a widower with a young daughter and has proved to be popular with the public. His election seems assured. That is until he meets Sydney Ellen Wade, a paid political activist working for an environmental lobby group. He's immediately smitten with her and after several amusing attempts, they finally manage to go on a date (which happens to be a State dinner for the visiting President of France). His relationship with Wade opens the door for his prime political opponent, Senator Bob Rumson, to launch an attack on the President's character, something he could not do in the previous election as Shepherd's wife had only recently died."
12,Dracula: Dead and Loving It,1995,1h 28min,PG-13,another spoof mind mel brooks time poke fun dracula myth basically took bram stoker gave new cast script made big joke usual rich english attacked dr van helsing brought save day,https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_.jpg,https://www.youtube.com/embed/HGCKrgSeXcE,False,False,False,Comedy Fantasy Horror,German English,MatthewBright,SteveHaberman RudyDeLuca MelBrooks,LeslieNielsen MelBrooks PeterMacNicol StevenWeber AmyYasbeck,"Another spoof from the mind of Mel Brooks . This time he's out to poke fun at the Dracula myth. Basically, he took Bram Stoker's Dracula, gave it a new cast and a new script and made a big joke out of it. The usual, rich English are attacked by Dracula and Dr. Van Helsing is brought in to save the day."
13,Balto,1995,1h 18min,G,half wolf husky named balto gets chance become hero outbreak diphtheria threatens children nome alaska winter 1925 leads dog team 600 mile trip across alaskan wilderness get medical supplies film based true story inspired iditarod sled race,https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_.jpg,https://www.youtube.com/embed/a6lGULmQdb0,False,False,False,Family Animation History Adventure Drama,English,SimonShore,CliffRuby ElanaLesser DavidStevenCohen,PhilCollins BridgetFonda JimCummings KevinBacon BobHoskins,"A half-wolf, half-husky named Balto gets a chance to become a hero when an outbreak of diphtheria threatens the children of Nome, Alaska in the winter of 1925. He leads a dog team on a 600-mile trip across the Alaskan wilderness to get medical supplies. The film is based on a true story which inspired the Iditarod dog sled race."
14,Nixon,1995,3h 12min,R,writer producer director oliver stone exploration former president richard nixon strict quaker upbringing nascent political strivings law school strangely self effacing courtship wife pat joan allen . contradictions character revealed early vicious campaign helen gahagan douglas oddly masochistic checkers speech defeat hands hated envied john f kennedy 1960 presidential election followed loss 1962 california gubernatorial race seem signal end career yet although wholly lacking charisma remains brilliant operator seizing opportunity provided backlash antiwar movement take presidency 1968 safely office running far ahead polls 1972 growing paranoia comes full flower triggering watergate scandal,https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_.jpg,https://www.youtube.com/embed/dO2LWKpeyI8,False,False,False,History Biography Drama,Mandarin Russian English,NormanTokar,StephenJ.Rivele ChristopherWilkinson OliverStone,AnthonyHopkins JoanAllen PowersBoothe EdHarris BobHoskins,"Writer, Producer, and Director Oliver Stone's exploration of former President Richard Nixon's strict Quaker upbringing, his nascent political strivings in law school, and his strangely self-effacing courtship of his wife, Pat (Joan Allen). The contradictions in his character are revealed early, in the vicious campaign against Helen Gahagan Douglas and the oddly masochistic Checkers speech. His defeat at the hands of the hated and envied John F. Kennedy in the 1960 presidential election, followed by the loss of the 1962 California gubernatorial race, seem to signal the end of his career. Yet, although wholly lacking in charisma, Nixon remains a brilliant political operator, seizing the opportunity provided by the backlash against the antiwar movement to take the Presidency in 1968. It is only when safely in office, running far ahead in the polls for the 1972 Presidential election, that his growing paranoia comes to full flower, triggering the Watergate scandal."
15,Cutthroat Island,1995,2h 4min,PG-13,morgan adams slave william shaw quest recover three portions treasure map unfortunately final portion held murderous uncle dawg crew skeptical leadership abilities must complete mutiny made yet difficult efforts british crown end piratical raids,https://m.media-amazon.com/images/M/MV5BNjg0ZjIzMDYtNmUyNS00NzQxLWFhZGQtOGYzMzE0ZWEwM2UxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg,https://www.youtube.com/embed/zFAipdyx928,False,False,False,Comedy Adventure Action,English,ReginaldHudlin,MichaelFrostBeckner JamesGorman BruceA.Evans,MauryChaykin GeenaDavis MatthewModine FrankLangella PatrickMalahide,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her piratical raids."
16,Casino,1995,2h 58min,R,martin scorsese film depicts janus like quality las vegas -- glittering glamorous face well brutal cruel one ace rothstein nicky santoro mobsters move make mark live work paradoxical world seen eyes foil details mob involvement casinos 1970s 80s revealed smooth operator tangiers casino boyhood friend tough strongman robbing shaking locals however tragic flaw falls love hustler ginger ever deepening spiral drugs violence,https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,https://www.youtube.com/embed/EJXDMwGWhoA,False,False,False,Crime Drama,English,MartinDavidson,NicholasPileggi MartinScorsese,DonRickles JoePesci JamesWoods RobertDeNiro SharonStone,"This Martin Scorsese film depicts the Janus-like quality of Las Vegas--it has a glittering, glamorous face, as well as a brutal, cruel one. Ace Rothstein and Nicky Santoro, mobsters who move to Las Vegas to make their mark, live and work in this paradoxical world. Seen through their eyes, each as a foil to the other, the details of mob involvement in the casinos of the 1970s and '80s are revealed. Ace is the smooth operator of the Tangiers casino, while Nicky is his boyhood friend and tough strongman, robbing and shaking down the locals. However, they each have a tragic flaw--Ace falls in love with a hustler, Ginger, and Nicky falls into an ever-deepening spiral of drugs and violence."
17,Sense and Sensibility,1995,2h 16min,G,mr dashwood tom wilkinson dies must leave bulk estate son first marriage leaves second wife three daughters elinor dame emma thompson   marianne kate winslet margaret emilie françois straitened circumstances taken kindly cousin lack fortune affects marriageability practical romantic forms attachment wealthy edward ferrars hugh grant family disapproves separates though mrs jennings elizabeth spriggs tries match worthy rich colonel brandon alan rickman finds dashing fiery john willoughby greg wise taste relationships sorely tried,https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_.jpg,https://www.youtube.com/embed/G0XvqB1ENzs,False,False,False,Romance Drama,French English,AndrewStanton,EmmaThompson JaneAusten,EmmaThompson KateWinslet JamesFleet TomWilkinson HarrietWalter,"When Mr. Dashwood (Tom Wilkinson) dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and their three daughters Elinor (Dame Emma Thompson), Marianne (Kate Winslet), and Margaret (Emilie François), in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars (Hugh Grant), his family disapproves and separates them. And though Mrs. Jennings (Elizabeth Spriggs) tries to match the worthy (and rich) Colonel Brandon (Alan Rickman) to her, Marianne finds the dashing and fiery John Willoughby (Greg Wise) more to her taste. Both relationships are sorely tried."
