,coming_soon_id,movie_id,cinema_name,release_date
0,1,2947,vox,2022-03-25 00:00:00+03:00
1,2,2948,vox,2022-03-27 00:00:00+03:00
2,3,2949,vox,2022-03-31 00:00:00+03:00
3,4,2950,vox,2022-04-01 00:00:00+03:00
4,5,2951,vox,2022-04-07 00:00:00+03:00
5,6,2951,amc,2022-04-07 00:00:00+03:00
6,7,2952,vox,2022-04-07 00:00:00+03:00
7,8,2952,amc,2022-04-07 00:00:00+03:00
8,9,2953,vox,2022-04-21 00:00:00+03:00
9,10,2953,amc,2022-04-21 00:00:00+03:00
10,11,2953,muvi,2022-04-08 00:00:00+03:00
11,15,2954,vox,2022-04-21 00:00:00+03:00
12,16,2954,amc,2022-04-21 00:00:00+03:00
13,17,2955,vox,2022-04-28 00:00:00+03:00
14,18,2955,amc,2022-04-28 00:00:00+03:00
15,19,2955,muvi,2022-04-28 00:00:00+03:00
16,23,2956,vox,2022-05-12 00:00:00+03:00
17,24,2956,amc,2022-05-12 00:00:00+03:00
18,25,2956,muvi,2022-05-12 00:00:00+03:00
19,29,2957,vox,2022-05-26 00:00:00+03:00
20,30,2957,amc,2022-05-26 00:00:00+03:00
21,31,2958,vox,2022-07-28 00:00:00+03:00
22,32,2958,amc,2022-07-28 00:00:00+03:00
23,33,2958,muvi,2022-05-16 00:00:00+03:00
24,37,2959,amc,2022-05-05 00:00:00+03:00
25,38,2959,muvi,2022-05-05 00:00:00+03:00
26,41,2960,amc,2022-06-09 00:00:00+03:00
27,42,2960,muvi,2022-06-09 00:00:00+03:00
28,45,2961,muvi,2022-07-14 00:00:00+03:00
29,46,2962,muvi,2022-03-31 00:00:00+03:00
