,language_id,language
0,1,Aboriginal
1,2,Afrikaans
2,3,Albanian
3,4,Algonquin
4,5,American Sign Language
5,6,Ancient (to 1453)
6,7,Apache languages
7,8,Arabic
8,9,Aramaic
9,10,Assamese
10,11,Assyrian Neo-Aramaic
11,12,Azerbaijani
12,13,Basque
13,14,Bengali
14,15,Bosnian
15,16,British Sign Language
16,17,Bulgarian
17,18,Cantonese
18,19,Catalan
19,20,Central Khmer
20,21,Chinese
21,22,Cornish
22,23,Cree
23,24,Croatian
24,25,Crow
25,26,Czech
26,27,Danish
27,28,Dutch
28,29,Egyptian (Ancient)
29,30,English
30,31,Esperanto
31,32,Filipino
32,33,Finnish
33,34,French
34,35,French Sign Language
35,36,Gaelic
36,37,Galician
37,38,German
38,39,Greek
39,40,Guarani
40,41,Hawaiian
41,42,Hebrew
42,43,Hindi
43,44,Hungarian
44,45,Icelandic
45,46,Indonesian
46,47,Inuktitut
47,48,Irish Gaelic
48,49,Italian
49,50,Japanese
50,51,Klingon
51,52,Korean
52,53,Kurdish
53,54,Lao
54,55,Latin
55,56,Latvian
56,57,Luxembourgish
57,58,Macedonian
58,59,Malay
59,60,Maltese
60,61,Mandarin
61,62,Maori
62,63,Mende
63,64,Min Nan
64,65,Navajo
65,66,Neapolitan
66,67,Nepali
67,68,None
68,69,Norse
69,70,North American Indian
70,71,Norwegian
71,72,Old
72,73,Papiamento
73,74,Pawnee
74,75,Persian
75,76,Polish
76,77,Polynesian
77,78,Portuguese
78,79,Punjabi
79,80,Quechua
80,81,Romanian
81,82,Romany
82,83,Russian
83,84,Sanskrit
84,85,Serbian
85,86,Sicilian
86,87,Sindarin
87,88,Sinhala
88,89,Sioux
89,90,Slovak
90,91,Spanish
91,92,Swahili
92,93,Swedish
93,94,Syriac
94,95,Tagalog
95,96,Tamil
96,97,Thai
97,98,Tibetan
98,99,Tok Pisin
99,100,Turkish
100,101,Ukrainian
101,102,Ungwatsi
102,103,Urdu
103,104,Vietnamese
104,105,Washoe
105,106,Welsh
106,107,Xhosa
107,108,Yiddish
108,109,Zulu
109,110,Telugu
110,111,Malayalam
111,112,
