,movie_id,language_id
0,1,30
1,3,30
2,3,38
3,3,49
4,4,30
5,5,30
6,6,30
7,6,91
8,7,30
9,7,34
10,8,30
11,11,30
12,11,34
13,11,91
14,12,38
15,12,30
16,13,30
17,14,61
18,14,83
19,14,30
20,15,30
21,16,30
22,17,34
23,17,30
24,18,30
25,19,30
26,20,30
27,21,30
28,22,30
29,24,30
30,25,83
31,25,30
32,26,30
33,27,30
34,28,18
35,28,34
36,29,61
37,30,30
38,31,30
39,31,34
40,32,30
41,33,30
42,34,30
43,35,30
44,36,91
45,36,30
46,37,30
47,38,30
48,39,30
49,40,30
50,40,55
51,41,30
52,42,30
53,43,30
54,44,30
55,45,30
56,45,4
57,46,30
58,47,44
59,47,91
60,47,30
61,47,34
62,48,30
63,48,55
64,49,30
65,50,42
66,50,30
67,51,30
68,52,49
69,52,91
70,53,34
71,53,30
72,54,30
73,55,91
74,55,30
75,55,34
76,55,52
77,56,5
78,56,30
79,57,30
80,57,91
81,58,30
82,59,30
83,60,30
84,61,91
85,61,30
86,61,34
87,62,30
88,63,30
89,63,91
90,64,83
91,64,30
92,65,30
93,66,34
94,66,38
95,66,30
96,67,30
97,68,30
98,69,30
99,70,30
100,70,91
101,71,75
102,72,30
103,73,28
104,74,30
105,75,30
106,76,30
107,77,91
108,77,27
109,77,30
110,78,34
111,78,30
112,79,30
113,80,30
114,81,30
115,82,30
116,83,30
117,84,30
118,85,30
119,86,34
120,87,30
121,88,30
122,89,30
123,89,91
124,90,91
125,90,30
126,91,30
127,92,30
128,93,30
129,94,34
130,94,30
131,94,55
132,94,49
133,94,36
134,95,91
135,95,30
136,96,30
137,96,18
138,97,30
139,98,30
140,98,36
141,98,18
142,99,30
143,99,38
144,100,30
145,101,30
146,102,30
147,103,34
148,103,30
149,104,18
150,104,50
151,104,43
152,104,79
153,104,103
154,104,61
155,104,30
156,105,30
157,106,30
158,107,30
159,108,30
160,109,30
161,110,30
162,111,30
163,112,30
164,113,30
165,114,30
166,115,30
167,116,30
168,117,30
169,118,30
170,119,30
171,120,30
172,121,30
173,122,30
174,123,30
175,124,34
176,124,91
177,125,30
178,126,30
179,127,30
180,128,30
181,129,30
182,129,5
183,130,30
184,131,30
185,131,91
186,132,30
187,133,38
188,133,30
189,133,81
190,134,30
191,135,30
192,136,46
193,136,28
194,136,59
195,136,33
196,136,35
197,136,30
198,136,57
199,136,27
200,137,49
201,137,50
202,137,83
203,137,30
204,138,30
205,139,30
206,139,50
207,140,30
208,141,30
209,142,30
210,143,30
211,144,30
212,145,30
213,146,30
214,147,30
215,148,30
216,149,83
217,149,30
218,150,30
219,151,91
220,151,30
221,152,83
222,152,30
223,153,8
224,153,30
225,154,30
226,155,30
227,156,30
228,156,91
229,157,30
230,158,30
231,159,30
232,160,30
233,161,30
234,162,30
235,163,30
236,163,34
237,164,30
238,165,30
239,166,30
240,167,30
241,167,49
242,167,34
243,168,30
244,169,30
245,170,30
246,171,30
247,172,30
248,173,30
249,174,34
250,174,83
251,175,34
252,175,3
253,175,30
254,175,58
255,176,38
256,176,30
257,176,34
258,177,91
259,177,34
260,177,30
261,178,30
262,179,30
263,180,30
264,181,93
265,181,30
266,181,49
267,182,30
268,183,30
269,184,30
270,184,91
271,185,30
272,186,30
273,187,30
274,188,30
275,189,30
276,190,38
277,190,30
278,190,93
279,191,34
280,191,61
281,192,42
282,192,30
283,193,30
284,194,30
285,195,30
286,195,34
287,196,30
288,196,34
289,197,30
290,198,30
291,199,30
292,200,30
293,201,34
294,201,49
295,202,30
296,203,30
297,204,30
298,205,30
299,205,34
300,206,30
301,206,44
302,207,30
303,208,38
304,208,30
305,209,30
306,209,34
307,210,30
308,211,30
309,212,30
310,213,30
311,214,30
312,215,38
313,215,34
314,215,30
315,216,30
316,216,34
317,217,30
318,218,91
319,218,30
320,219,30
321,219,22
322,220,104
323,220,30
324,221,30
325,222,30
326,223,30
327,224,30
328,225,30
329,226,30
330,227,30
331,228,30
332,229,30
333,229,5
334,229,49
335,229,83
336,229,92
337,229,28
338,230,30
339,231,91
340,231,30
341,232,30
342,233,30
343,234,30
344,235,30
345,236,30
346,237,30
347,237,65
348,237,50
349,238,30
350,238,49
351,239,30
352,239,91
353,239,62
354,240,30
355,241,52
356,241,30
357,241,34
358,242,49
359,242,34
360,242,30
361,243,30
362,244,30
363,245,91
364,245,30
365,245,34
366,246,30
367,246,55
368,247,30
369,248,49
370,248,34
371,249,30
372,249,91
373,250,30
374,251,83
375,251,49
376,251,30
377,251,91
378,251,34
379,252,34
380,253,76
381,253,34
382,253,81
383,254,76
384,254,34
385,254,30
386,255,61
387,256,30
388,257,30
389,258,48
390,258,30
391,259,30
392,260,8
393,260,29
394,260,71
395,260,93
396,260,30
397,261,91
398,261,30
399,262,30
400,263,30
401,264,30
402,265,34
