,movie_id,actor_id,role
0,1,1,Woody
1,1,2,Buzz Lightyear
2,1,3,Mr. Potato Head
3,1,4,Slinky Dog
4,1,5,Rex
5,3,15,Grandpa Gustafson
6,3,13,Ariel Gustafson
7,3,14,Maria Sophia Coletta Ragetti
8,3,11,Max Goldman
9,3,12,John Gustafson
10,4,16,Savannah
11,4,17,Bernadine
12,4,18,Gloria
13,4,19,Robin
14,4,20,Marvin
15,5,21,George Banks
16,5,22,Nina Banks
17,5,23,Franck Eggelhoffer
18,5,24,Annie Banks-MacKenzie
19,5,25,Bryan MacKenzie
20,6,30,Michael Cheritto
21,6,29,Nate
22,6,26,Lt. Vincent Hanna
23,6,27,Neil McCauley
24,6,28,Chris Shiherlis
25,7,31,Linus Larrabee
26,7,32,Sabrina Fairchild
27,7,33,David Larrabee
28,7,34,Maude Larrabee
29,7,35,Fairchild
30,8,39,Injun Joe
31,8,38,Judge Thatcher
32,8,40,Aunt Polly
33,8,36,Tom Sawyer
34,8,37,Huck Finn
35,11,55,Robin McCall
36,11,53,A.J. MacInerney
37,11,54,Lewis Rothschild
38,11,51,Andrew Shepherd
39,11,52,Sydney Ellen Wade
40,12,56,Dracula
41,12,57,Professor Van Helsing
42,12,58,Renfield
43,12,59,Harker
44,12,60,Mina
45,13,65,Muk and Luk
46,13,63,Jenna
47,13,64,Steele
48,13,61,Balto
49,13,62,Boris
50,14,66,Richard M. Nixon
51,14,67,Pat Nixon
52,14,42,Alexander Haig
53,14,68,E. Howard Hunt
54,14,62,J. Edgar Hoover
55,15,72,John Reed
56,15,69,Morgan Adams
57,15,70,William Shaw
58,15,71,Dawg Brown
59,15,73,Ainslee
60,16,3,Billy Sherbert
61,16,75,Nicky Santoro
62,16,76,Lester Diamond
63,16,27,Sam Ace Rothstein
64,16,74,Ginger McKenna
65,17,77,Elinor Dashwood
66,17,78,Marianne Dashwood
67,17,79,John Dashwood
68,17,80,Mr. Dashwood
69,17,81,Fanny Dashwood
70,18,86,Athena 
71,18,82,Ted the Bellhop
72,18,83,Man 
73,18,84,Jezebel 
74,18,85,Diana 
75,19,91,Burton Quinn
76,19,90,Ouda
77,19,88,Fulton Greenwall
78,19,87,Ace Ventura
79,19,89,Vincent Cadby
80,20,96,Torch
81,20,92,John
82,20,93,Charlie Robinson
83,20,94,Grace Santiago
84,20,95,Donald Patterson
85,21,99,Martin Weir
86,21,100,Chili Palmer
87,21,97,Harry Zimm
88,21,98,Karen Flores
89,21,101,Ray Bones Barboni
90,22,105,Peter Foley
91,22,104,Ruben Goetz
92,22,106,Daryll Lee Cullum
93,22,102,Helen Hudson
94,22,103,MJ Monahan
95,24,111,Jessie Caldwell
96,24,112,Jeremy Powder Reed
97,24,113,Sheriff Doug Barnum
